Company Name,Website,LinkedIn Link,Mail ID,Employees,Followers,Type,Base GEO,Address,Services
HarborCloud,https://harborcloud.com,https://linkedin.com/company/harborcloud,hello@harborcloud.com,330,7600,SaaS,USA - Washington - Seattle,700 Pike Street Seattle WA,Cloud Storage & Cybersecurity
Bloom Floral,https://bloomflorals.com,https://linkedin.com/company/bloom-florals,flowers@bloomflorals.com,60,2500,B2C,India - Karnataka - Bangalore,5 Residency Road Bangalore,Floral Delivery & Events
TrustBank Financial,https://trustbankfin.com,https://linkedin.com/company/trustbank-financial,support@trustbankfin.com,2100,24000,B2C,USA - New Jersey - Newark,1 Financial Plaza Newark NJ,Banking & Retail Finance
Nimbus Aviation,https://nimbusaviation.com,https://linkedin.com/company/nimbus-aviation,ops@nimbusaviation.com,430,5100,B2B,UAE - Dubai - Dubai,88 Sheikh Zayed Rd Dubai,Charter Flights & Aircraft Rental
Cobalt Security,https://cobaltsecurity.com,https://linkedin.com/company/cobalt-security,info@cobaltsecurity.com,290,6800,B2B,UK - England - Manchester,60 Piccadilly Manchester,Cyber Security & Pen Testing
FreshBasket,https://freshbasket.com,https://linkedin.com/company/freshbasket,support@freshbasket.com,410,13000,B2C,India - Delhi NCR - New Delhi,23 Connaught Place New Delhi,Online Grocery & Delivery
InfraBuild Corp,https://infrabuild.com,https://linkedin.com/company/infrabuild-corp,bids@infrabuild.com,980,4200,B2B,USA - Georgia - Atlanta,1200 Peachtree St Atlanta GA,Construction & Civil Engineering
Pulse Fitness,https://pulsefitness.com,https://linkedin.com/company/pulse-fitness,hello@pulsefitness.com,150,3800,B2C,Australia - NSW - Sydney,55 George Street Sydney,Health Clubs & Personal Training
Veritas Legal,https://veritaslegal.com,https://linkedin.com/company/veritas-legal,contact@veritaslegal.com,110,2200,B2B,India - Maharashtra - Mumbai,9 Nariman Point Mumbai,Legal Advisory & Litigation
Orbit Media,https://orbitmedia.tv,https://linkedin.com/company/orbit-media,studio@orbitmedia.tv,95,5600,B2B,USA - California - Los Angeles,700 Hollywood Blvd LA,Video Production & Advertising
SwiftPay,https://swiftpay.com,https://linkedin.com/company/swiftpay,payments@swiftpay.com,240,9200,SaaS,Kenya - Nairobi - Nairobi,14 Upper Hill Nairobi,Payment Gateway & Fintech
Rover Auto Group,https://roverauto.com,https://linkedin.com/company/rover-auto-group,info@roverauto.com,720,11800,B2C,Japan - Tokyo - Tokyo,16 Ginza Chuo-ku Tokyo,Automobile Sales & Service
EduBright Academy,https://edubright.io,https://linkedin.com/company/edubright-academy,learn@edubright.io,85,4200,B2C,India - Tamil Nadu - Chennai,40 Anna Salai Chennai,Online Education & Coaching
Atlas Freight,https://atlasfreight.com,https://linkedin.com/company/atlas-freight,dispatch@atlasfreight.com,310,2900,B2B,Mexico - CDMX - Mexico City,700 Paseo De La Reforma,Trucking & Freight Brokerage
Lumina Jewels,https://luminajewels.com,https://linkedin.com/company/lumina-jewels,care@luminajewels.com,140,25000,B2C,India - Gujarat - Surat,6 Ring Road Surat,Gold & Diamond Jewelry Retail
ComputeGrid,https://computegrid.io,https://linkedin.com/company/computegrid,infra@computegrid.io,260,6100,SaaS,USA - Oregon - Portland,1100 SE Division St Portland,Edge Computing & Hosting
Gourmet Bites,https://gourmetbites.in,https://linkedin.com/company/gourmet-bites,support@gourmetbites.in,390,9800,B2C,India - West Bengal - Kolkata,18 Park Street Kolkata,Restaurant Chain & Catering
HydroCore Water,https://hydrocorewater.com,https://linkedin.com/company/hydrocore-water,sales@hydrocorewater.com,175,1900,B2B,USA - Michigan - Detroit,3000 Woodward Ave Detroit,Water Treatment & Purification
SilverLining Tech,https://silverliningtech.com,https://linkedin.com/company/silverlining-tech,careers@silverliningtech.com,460,8800,B2B,Canada - BC - Vancouver,888 Canada Place Vancouver,Fintech Software & Consulting
Peak Mountain Gear,https://peakmountaingear.com,https://linkedin.com/company/peak-mountain-gear,orders@peakmountaingear.com,90,7400,B2C,USA - Colorado - Boulder,2020 Pearl St Boulder CO,Outdoor Equipment & Apparel
CityScape Hotels,https://cityscapehotels.com,https://linkedin.com/company/cityscape-hotels,reservations@cityscapehotels.com,1500,12200,B2C,Thailand - Bangkok - Bangkok,88 Sukhumvit Rd Bangkok,Hotel & Hospitality Management
ByteCraft Games,https://bytecraft.games,https://linkedin.com/company/bytecraft-games,studio@bytecraft.games,230,86000,B2C,Sweden - Stockholm - Stockholm,50 Sveavagen Stockholm,Game Development & Publishing
Nova Pharma,https://novapharma.com,https://linkedin.com/company/nova-pharma,info@novapharma.com,830,6800,B2B,USA - New Jersey - Princeton,100 Camp Dr Princeton NJ,Pharmaceuticals & Research
Apex Security Systems,https://apexsecuritysys.com,https://linkedin.com/company/apex-security-systems,contact@apexsecuritysys.com,350,4700,B2B,Australia - VIC - Melbourne,20 Collins Street Melbourne,Surveillance & Access Control
PureSound Audio,https://puresoundaudio.com,https://linkedin.com/company/puresound-audio,support@puresoundaudio.com,180,21000,B2C,Denmark - North Jutland - Aalborg,15 Kongensgade Aalborg,Hi-Fi Audio Equipment
EverGreen Energy,https://evergreenenergy.com,https://linkedin.com/company/evergreen-energy,hello@evergreenenergy.com,540,9200,B2B,Norway - Oslo - Oslo,6 Nedre Vollgate Oslo,Green Energy & Hydropower
CrystalClear Telecom,https://crystalcleartel.com,https://linkedin.com/company/crystalclear-telecom,biz@crystalcleartel.com,1350,19000,B2C,India - Maharashtra - Mumbai,33 Worli Sea Face Mumbai,Telecom & Broadband Services
FarmFresh Produce,https://farmfreshproduce.com,https://linkedin.com/company/farmfresh-produce,info@farmfreshproduce.com,310,5600,B2C,India - Punjab - Chandigarh,9 Sector 17 Chandigarh,Agri Supply & Distribution
Quantum Robotics,https://quantumrobotics.com,https://linkedin.com/company/quantum-robotics,engage@quantumrobotics.com,270,7800,B2B,South Korea - Gyeonggi - Pangyo,10 Pangyo Station Pangyo,Industrial Robotics & Automation
Voyager Travel,https://voyagertravel.com,https://linkedin.com/company/voyager-travel,bookings@voyagertravel.com,120,3300,B2C,UAE - Dubai - Dubai,50 Marina Walk Dubai,Travel Agency & Tours
SmartHome Devices,https://smarthomedevices.com,https://linkedin.com/company/smarthome-devices,care@smarthomedevices.com,300,15000,B2C,China - Guangdong - Shenzhen,4000 Futian Rd Shenzhen,Smart Home Appliances & IoT
Elite Consulting Group,https://eliteconsulting.com,https://linkedin.com/company/elite-consulting,info@eliteconsulting.com,95,2800,B2B,USA - Texas - Houston,5200 San Felipe St Houston,Management Consulting & Strategy
Aurora Textiles,https://auroratextiles.com,https://linkedin.com/company/aurora-textiles,export@auroratextiles.com,680,4300,B2B,India - Maharashtra - Surat,21 Ring Road Surat,Textile Manufacturing & Export
